,date_jour,code_site,trafic_voix,trafic_data,techno
528,20230223,OCI0188,,757.767522,4G
529,20230223,OCI0189,864.67,0.8948514,2G
530,20230223,OCI0189,1212.19,151.65,3G
531,20230223,OCI0189,,628.673242,4G
532,20230223,OCI0190,214.7,0.3233962,2G
533,20230223,OCI0190,736.559999999999,65.65,3G
534,20230223,OCI0190,,175.740503,4G
535,20230223,OCI0191,541.68,1.22816056,2G
536,20230223,OCI0191,1324.78,206.58,3G
537,20230223,OCI0191,,1024.476933,4G
538,20230223,OCI0192,192.09,0.71858599,2G
539,20230223,OCI0192,646.67,75.02,3G
540,20230223,OCI0192,,506.109425,4G
541,20230223,OCI0193,1105.39,0.4566428,2G
542,20230223,OCI0193,718.0,81.0,3G
543,20230223,OCI0193,,279.024665,4G
544,20230223,OCI0194,685.06,0.84728872,2G
545,20230223,OCI0194,551.589999999999,80.2000000000001,3G
546,20230223,OCI0194,,235.085337,4G
547,20230223,OCI0195,232.4,0.58171846,2G
548,20230223,OCI0195,165.03,17.69,3G
549,20230223,OCI0195,,26.52084,4G
550,20230223,OCI0196,530.74,0.88954183,2G
551,20230223,OCI0196,1640.07,95.62,3G
552,20230223,OCI0196,,790.493129999999,4G
553,20230223,OCI0197,550.39,0.5602991,2G
554,20230223,OCI0197,84.94,17.08,3G
555,20230223,OCI0197,,6.428661,4G
556,20230223,OCI0198,406.13,1.46302378,2G
557,20230223,OCI0198,738.58,223.26,3G
558,20230223,OCI0198,,1437.192987,4G
559,20230223,OCI0199,362.26,0.88289285,2G
560,20230223,OCI0199,211.92,72.05,3G
561,20230223,OCI0200,272.93,0.13654662,2G
562,20230223,OCI0200,370.68,41.71,3G
563,20230223,OCI0200,,444.827657,4G
564,20230223,OCI0201,257.7,0.56933343,2G
565,20230223,OCI0201,112.98,19.11,3G
566,20230223,OCI0201,,101.213568,4G
567,20230223,OCI0202,132.16,0.50086354,2G
568,20230223,OCI0202,56.82,9.8,3G
569,20230223,OCI0202,,36.167583,4G
570,20230223,OCI0203,844.63,0.44512943,2G
571,20230223,OCI0203,657.79,70.02,3G
572,20230223,OCI0203,,197.951487,4G
573,20230223,OCI0204,423.25,2.62362831,2G
574,20230223,OCI0204,280.06,49.96,3G
575,20230223,OCI0204,,173.833342,4G
576,20230223,OCI0205,249.53,0.39143098,2G
577,20230223,OCI0205,755.11,64.71,3G
578,20230223,OCI0205,,558.1334,4G
579,20230223,OCI0206,1275.63,0.58729574,2G
580,20230223,OCI0206,1488.26,166.6,3G
581,20230223,OCI0206,,681.58139,4G
582,20230223,OCI0207,1017.19,1.03093531,2G
583,20230223,OCI0207,1361.93,149.66,3G
584,20230223,OCI0207,,1019.821227,4G
585,20230223,OCI0208,299.65,0.39484485,2G
586,20230223,OCI0208,85.14,21.5,3G
587,20230223,OCI0209,845.17,2.52655697,2G
588,20230223,OCI0209,1303.73,147.03,3G
589,20230223,OCI0209,,1023.272137,4G
590,20230223,OCI0210,390.24,0.25327386,2G
591,20230223,OCI0210,127.87,14.96,3G
592,20230223,OCI0210,,44.435773,4G
